Date,High,Low,Open,Close,Volume,Adj Close
2013-01-03,950.0,745.0,752.5,827.5,0.0,827.3603515625
2013-01-04,940.0,762.5,837.5,777.5,0.0,777.3687133789062
2013-01-07,780.0,780.0,780.0,780.0,0.0,779.8683471679688
2013-01-08,780.0,780.0,780.0,780.0,0.0,779.8683471679688
2013-01-09,780.0,780.0,780.0,780.0,0.0,779.8683471679688
2013-01-10,810.0,807.5,807.5,810.0,0.0,809.86328125
2013-01-11,810.0,810.0,810.0,810.0,0.0,809.86328125
2013-01-14,800.0,762.5,777.5,800.0,0.0,799.8649291992188
2013-01-15,767.5,765.0,767.5,765.0,0.0,764.8709106445312
2013-01-16,765.0,765.0,765.0,765.0,0.0,764.8709106445312
2013-01-17,1192.5,807.5,807.5,1082.5,500.0,1082.3172607421875
2013-01-18,1107.5,945.0,1107.5,962.5,100.0,962.3375244140625
2013-01-22,1022.5,917.5,1012.5,917.5,0.0,917.3450927734375
2013-01-23,925.0,900.0,925.0,900.0,0.0,899.8480834960938
2013-01-24,935.0,820.0,875.0,935.0,0.0,934.8422241210938
2013-01-25,950.0,832.5,935.0,902.5,0.0,902.34765625
2013-01-28,947.5,837.5,947.5,837.5,0.0,837.358642578125
2013-01-29,850.0,752.5,850.0,812.5,0.0,812.3628540039062
2013-01-30,872.5,742.5,777.5,872.5,0.0,872.3527221679688
2013-01-31,775.0,745.0,745.0,752.5,0.0,752.3729858398438
2013-02-01,850.0,757.5,757.5,812.5,0.0,812.3628540039062
2013-02-04,812.5,812.5,812.5,812.5,0.0,812.3628540039062
2013-02-05,775.0,775.0,775.0,775.0,0.0,774.8692016601562
2013-02-06,832.5,832.5,832.5,832.5,0.0,832.3594970703125
2013-02-07,837.5,837.5,837.5,837.5,0.0,837.358642578125
2013-02-08,790.0,775.0,780.0,787.5,0.0,787.3670654296875
2013-02-11,787.5,787.5,787.5,787.5,0.0,787.3670654296875
2013-02-12,787.5,787.5,787.5,787.5,0.0,787.3670654296875
2013-02-13,797.5,787.5,787.5,792.5,0.0,792.456787109375
2013-02-14,792.5,792.5,792.5,792.5,0.0,792.456787109375
2013-02-15,812.5,812.5,812.5,812.5,0.0,812.4556884765625
2013-02-19,807.5,807.5,807.5,807.5,0.0,807.4559326171875
2013-02-20,807.5,807.5,807.5,807.5,0.0,807.4559326171875
2013-02-21,775.0,770.0,770.0,775.0,0.0,774.9577026367188
2013-02-22,790.0,775.0,787.5,775.0,0.0,774.9577026367188
2013-02-25,795.0,755.0,775.0,755.0,0.0,754.9588012695312
2013-02-26,800.0,765.0,765.0,800.0,0.0,799.9563598632812
2013-02-27,820.0,800.0,800.0,820.0,0.0,819.9552612304688
2013-02-28,820.0,820.0,820.0,820.0,0.0,819.9552612304688
2013-03-01,820.0,820.0,820.0,820.0,0.0,819.9552612304688
2013-03-04,820.0,820.0,820.0,820.0,0.0,819.9552612304688
2013-03-05,787.5,787.5,787.5,787.5,0.0,787.45703125
2013-03-06,792.5,792.5,792.5,792.5,0.0,792.456787109375
2013-03-07,792.5,792.5,792.5,792.5,0.0,792.456787109375
2013-03-08,790.0,787.5,787.5,790.0,0.0,789.9569091796875
2013-03-11,790.0,790.0,790.0,790.0,0.0,789.9569091796875
2013-03-12,790.0,790.0,790.0,790.0,0.0,789.9569091796875
2013-03-13,750.0,750.0,750.0,750.0,0.0,749.9591064453125
2013-03-14,817.5,750.0,765.0,817.5,0.0,817.4554443359375
2013-03-15,817.5,817.5,817.5,817.5,0.0,817.4554443359375
2013-03-18,815.0,815.0,815.0,815.0,0.0,814.95556640625
2013-03-19,815.0,815.0,815.0,815.0,0.0,814.95556640625
2013-03-20,810.0,810.0,810.0,810.0,0.0,809.955810546875
2013-03-21,810.0,810.0,810.0,810.0,0.0,809.955810546875
2013-03-22,825.0,752.5,810.0,752.5,0.0,752.458984375
2013-03-25,825.0,825.0,825.0,825.0,0.0,824.9550170898438
2013-03-26,875.0,837.5,840.0,872.5,0.0,872.452392578125
2013-03-27,875.0,822.5,822.5,875.0,0.0,874.9522705078125
2013-03-28,875.0,850.0,875.0,850.0,0.0,849.95361328125
2013-04-01,850.0,850.0,850.0,850.0,0.0,849.95361328125
2013-04-02,850.0,850.0,850.0,850.0,0.0,849.95361328125
2013-04-03,805.0,747.5,805.0,762.5,100.0,762.4584350585938
2013-04-04,775.0,755.0,775.0,755.0,0.0,754.9588012695312
2013-04-05,850.0,775.0,775.0,850.0,0.0,849.95361328125
2013-04-08,887.5,852.5,885.0,852.5,0.0,852.4534912109375
2013-04-09,875.0,842.5,875.0,842.5,0.0,842.4540405273438
